EncounterID,SentenceID,Sentence,IsHallucination,GPTreason,GPTNeutral,GPTUnknown,GPTJudgement
HaluSum000000-0,0,"Marseille prosecutor says ""so far no videos were used in the crash investigation"" despite media reports. Journalists at Bild and Paris Match are ""very confident"" the video clip is real, an editor says. Andreas Lubitz had informed his Lufthansa training school of an episode of severe depression, airline says.
",0,"These are hallucinations because:
 PARTIAL NEUTRAL. The sentence is partially supported by the source document. The source document does state that the Marseille prosecutor, Brice Robin, said, ""so far no videos were used in the crash investigation,"" which supports the first part of the sentence. The source document also confirms that Julian Reichelt, editor-in-chief of Bild online, said that Bild and Paris Match are ""very confident"" that the video clip is real, which supports the second part of the sentence. However, the last part of the sentence regarding Andreas Lubitz informing his Lufthansa training school of an episode of severe depression is also supported by the source document, which states, ""Lubitz told his Lufthansa flight training school in 2009 that he had a 'previous episode of severe depression,' the airline said Tuesday."" Therefore, the sentence is not a hallucination as it is supported by the source document.",0,0,0
HaluSum000000-1,0,"A video showing the final moments of Germanwings Flight 9525 has been recovered by investigators from the wreckage site. Marseille prosecutor Brice Robin urged anyone who might have more footage to turn it over immediately. Andreas Lubitz, the co-pilot accused of deliberately crashing the plane, had a history of severe depression and suicidal tendencies.",1,"These are hallucinations because:
 PARTIAL NEUTRAL. The sentence contains multiple parts. The first part of the sentence, ""A video showing the final moments of Germanwings Flight 9525 has been recovered by investigators from the wreckage site,"" is contradicted by the source document which states, ""Marseille prosecutor Brice Robin told CNN that 'so far no videos were used in the crash investigation.'"" The second part, ""Marseille prosecutor Brice Robin urged anyone who might have more footage to turn it over immediately,"" is supported by the source document where Robin is quoted saying, ""A person who has such a video needs to immediately give it to the investigators."" The third part, ""Andreas Lubitz, the co-pilot accused of deliberately crashing the plane, had a history of severe depression and suicidal tendencies,"" is supported by the source document which mentions, ""German airline Lufthansa confirmed Tuesday that co-pilot Andreas Lubitz had battled depression years before he took the controls of Germanwings Flight 9525,"" and ""medical records reveal Lubitz suffered from suicidal tendencies at some point before his aviation career and underwent psychotherapy before he got his pilot's license.""",0,0,0
HaluSum000001-0,0,"Membership gives the ICC jurisdiction over alleged crimes committed in Palestinian territories since last June. Israel and the United States opposed the move, which could open the door to war crimes investigations against Israelis.
",0,"These are hallucinations because:
 PARTIAL NEUTRAL. The sentence ""Membership gives the ICC jurisdiction over alleged crimes committed in Palestinian territories since last June"" is not supported because the source document specifies ""since June 13, 2014,"" not simply ""since last June."" The rest of the sentence is supported by the source document, which states ""Israel and the United States, neither of which is an ICC member, opposed the Palestinians' efforts to join the body"" and ""Later that month, the ICC opened a preliminary examination into the situation in Palestinian territories, paving the way for possible war crimes investigations against Israelis.""",0,0,1
HaluSum000001-1,0,"The International Criminal Court has officially accepted Palestine as its 123rd member, despite objections from Israel and the United States. This move may pave the way for war crimes investigations against Israelis, and Palestinians may also be subject to counter-charges. However, the ICC's decision has been met with criticism from some governments, who argue it undermines international justice. Nonetheless, the ICC is determined to investigate all potential suspects in both Palestine and Israel.",1,"These are hallucinations because:
 PARTIAL NEUTRAL. The sentence ""The International Criminal Court has officially accepted Palestine as its 123rd member, despite objections from Israel and the United States. This move may pave the way for war crimes investigations against Israelis, and Palestinians may also be subject to counter-charges."" is supported by the source document. However, the part ""However, the ICC's decision has been met with criticism from some governments, who argue it undermines international justice."" is not supported by the source document. The source document does not mention that governments have criticized the ICC's decision as undermining international justice. It only specifies Israel's and the United States' objections to Palestine joining the ICC. The last part ""Nonetheless, the ICC is determined to investigate all potential suspects in both Palestine and Israel."" is partially supported as the source document states that the ICC opened a preliminary examination into the situation in Palestinian territories, which allows the court to review evidence and determine whether to investigate suspects on both sides, but it does not explicitly state that the ICC is determined to investigate all potential suspects.",0,0,1
HaluSum000002-0,0,"Amnesty's annual death penalty report catalogs encouraging signs, but setbacks in numbers of those sentenced to death. Organization claims that governments around the world are using the threat of terrorism to advance executions. The number of executions worldwide has gone down by almost 22% compared with 2013, but death sentences up by 28%.
",0,"These are hallucinations because:
 PARTIAL NEUTRAL. The sentence is partially supported by the source document. The source document does state that ""The number of executions worldwide has gone down by almost 22% on the previous year"" and that ""the number of people sentenced to death in 2014... an increase of 28% compared with 2013,"" which supports the latter part of the sentence. However, the first part of the sentence, ""Amnesty's annual death penalty report catalogs encouraging signs, but setbacks in numbers of those sentenced to death,"" is not directly supported by the source document, although it could be inferred from the mixed findings mentioned in the report. The claim that ""governments around the world are using the threat of terrorism to advance executions"" is directly supported by the source document, which states, ""The dark trend of governments using the death penalty in a futile attempt to tackle real or imaginary threats to state security and public safety was stark last year,"" as said by Salil Shetty, Amnesty's Secretary General.",0,0,1
HaluSum000002-1,0,"Amnesty's annual report on the death penalty shows that there has been a decrease in the number of executions worldwide, with just over 600 people killed by state-sanctioned killing. Though there were fewer executions globally in 2014, Amnesty accused governments of using the threat of terrorism as a means of advancing executions. Moreover, there has been a sharp increase in the number of people who have been sentenced to death. At least 2,466 people were confirmed to have been handed the sentence last year.",1,"These are hallucinations because:
 PARTIAL NEUTRAL. The sentence is partially supported by the source document. The source document states, ""On one hand, the number of executions worldwide has gone down by almost 22% on the previous year. At least 607 people were executed around the world in 2014, compared to 778 in 2013,"" which supports the claim of a decrease in the number of executions and the figure of just over 600 people executed. It also mentions, ""The report notes some encouraging signs, it also highlights a marked increase in the number of people sentenced to death in 2014. At least 2,466 people globally are confirmed to have been handed the sentence last year,"" which supports the increase in the number of people sentenced to death. However, the source document does not provide the exact phrase ""Amnesty accused governments of using the threat of terrorism as a means of advancing executions,"" but it does state, ""Governments around the world are using the threat of terrorism -- real or perceived -- to advance executions,"" which is a similar notion but not a direct quote. Therefore, the part about Amnesty accusing governments is not directly supported but is a reasonable interpretation of the source content.",0,0,1
HaluSum000003-0,0,"Amnesty International releases its annual review of the death penalty worldwide; much of it makes for grim reading. Salil Shetty: Countries that use executions to deal with problems are on the wrong side of history.
",0,"These are hallucinations because:
 PARTIAL NEUTRAL. The first part of the sentence is supported by the source document: ""Today, Amnesty International releases its annual review of the death penalty worldwide. Much of it makes for grim reading."" However, the second part of the sentence mentioning Salil Shetty is not supported by the source document as there is no mention of Salil Shetty or a direct quote from him stating ""Countries that use executions to deal with problems are on the wrong side of history.""",0,0,1
HaluSum000003-1,0,"China paraded scores of prisoners at a mass sentencing, part of their effort to combat terrorism and separatism. Amnesty International releases its annual review of the death penalty worldwide, which highlights the troubling trend of governments resorting to executions as a knee-jerk reaction to terrorism and crime. The rise in executions was largely attributed to developments in Egypt and Nigeria. Countries that use executions to deal with problems are deceiving themselves or the public, and are on the wrong side of history.",1,"These are hallucinations because:
 PARTIAL NEUTRAL. The sentence correctly summarizes parts of the source document regarding China's mass sentencing and the annual review by Amnesty International that discusses the trend of governments using executions in response to terrorism and crime. However, the source document does not explicitly state that ""Countries that use executions to deal with problems are deceiving themselves or the public, and are on the wrong side of history."" This part of the sentence is an interpretation that is not directly supported by the text of the source document. The source document does imply a critical stance on the use of the death penalty, but the specific phrasing used in the sentence is not found in the source document.",0,0,1
HaluSum000004-0,0,"Museum: Anne Frank died earlier than previously believed. Researchers re-examined archives and testimonies of survivors. Anne and older sister Margot Frank are believed to have died in February 1945.
",0,"These are hallucinations because:
 PARTIAL NEUTRAL. The sentence is partially supported by the source document which states that ""new research released by the Anne Frank House shows that Anne and her older sister, Margot Frank, died at least a month earlier than previously thought."" This supports the claim that Anne Frank died earlier than previously believed. However, the specific month of ""February 1945"" is not mentioned in the source document, so this detail is not supported.",0,0,1
HaluSum000004-1,0,"Anne Frank and her sister Margot were found alive in the Bergen-Belsen concentration camp after new research was released by the Anne Frank House. Witnesses at the camp stated that they saw the sisters alive as late as February 7, contradicting the date of death previously believed. The sisters endured terrible living conditions and disease, but ultimately survived the Holocaust.",1,"These are hallucinations because:
 The sentence ""Anne Frank and her sister Margot were found alive in the Bergen-Belsen concentration camp after new research was released by the Anne Frank House"" is contradicted by the source document which states ""But new research released by the Anne Frank House shows that Anne and her older sister, Margot Frank, died at least a month earlier than previously thought."" The source document also mentions that ""They concluded that Anne and Margot probably did not survive to March 1945,"" which contradicts the claim in the sentence that they survived the Holocaust. The part of the sentence stating ""Witnesses at the camp stated that they saw the sisters alive as late as February 7"" is supported by the source document, which says ""witnesses at the camp said the sisters both had symptoms before February 7."" However, the conclusion that they survived is not supported and is directly contradicted by the source document.",0,0,1
