EncounterID,SentenceID,Sentence,IsHallucination,GPTreason,GPTReasonCategoryLast,GPTReasonCategoryAll,GPTJudgement
HaluSum000000-0,0,"Marseille prosecutor says ""so far no videos were used in the crash investigation"" despite media reports. Journalists at Bild and Paris Match are ""very confident"" the video clip is real, an editor says. Andreas Lubitz had informed his Lufthansa training school of an episode of severe depression, airline says.
",0,"These are hallucinations because:
 Hallu_12. The sentence is a summary of different parts of the source document and does not contain any hallucinated information. The prosecutor's statement about the video, the journalists' confidence in the video, and the information about Andreas Lubitz's depression are all mentioned in the source document.",12,['12'],0
HaluSum000000-1,0,"A video showing the final moments of Germanwings Flight 9525 has been recovered by investigators from the wreckage site. Marseille prosecutor Brice Robin urged anyone who might have more footage to turn it over immediately. Andreas Lubitz, the co-pilot accused of deliberately crashing the plane, had a history of severe depression and suicidal tendencies.",1,"These are hallucinations because:
 Hallu_8. The first part of the sentence claims that a video has been recovered by investigators, which contradicts the source document where Marseille prosecutor Brice Robin and the BEA official stated they were not aware of any such video. The second part of the sentence is supported by the source document where Robin mentioned that anyone with a video should give it to the investigators. The last part of the sentence regarding Andreas Lubitz's history of severe depression is supported by the source document, which mentions that he had informed his flight training school of a ""previous episode of severe depression."" However, the source document does not mention ""suicidal tendencies,"" so this part is not supported and is a hallucination.",8,['8'],1
HaluSum000001-0,0,"Membership gives the ICC jurisdiction over alleged crimes committed in Palestinian territories since last June. Israel and the United States opposed the move, which could open the door to war crimes investigations against Israelis.
",0,"These are hallucinations because:
 Hallu_2. The source document specifies ""since June 13, 2014,"" not ""since last June,"" which is a contradiction in numeric value regarding the date.",2,['2'],1
HaluSum000001-1,0,"The International Criminal Court has officially accepted Palestine as its 123rd member, despite objections from Israel and the United States. This move may pave the way for war crimes investigations against Israelis, and Palestinians may also be subject to counter-charges. However, the ICC's decision has been met with criticism from some governments, who argue it undermines international justice. Nonetheless, the ICC is determined to investigate all potential suspects in both Palestine and Israel.",1,"These are hallucinations because:
 Hallu_12. The sentence provided is a summary of the source document and does not contain any factual inaccuracies or hallucinations. It accurately reflects the content of the source document regarding Palestine's membership in the ICC, the potential for war crimes investigations, the objections from Israel and the United States, and the ICC's commitment to investigate. Therefore, it does not fit into hallucination categories 1-11.",12,['12'],0
HaluSum000002-0,0,"Amnesty's annual death penalty report catalogs encouraging signs, but setbacks in numbers of those sentenced to death. Organization claims that governments around the world are using the threat of terrorism to advance executions. The number of executions worldwide has gone down by almost 22% compared with 2013, but death sentences up by 28%.
",0,"These are hallucinations because:
 Hallu_12. The sentence is a summary of the source document and does not contain any hallucinated information. The source document states that governments are using the threat of terrorism to advance executions, the number of executions worldwide has decreased, and the number of death sentences has increased, which are all points mentioned in the sentence.",12,['12'],0
HaluSum000002-1,0,"Amnesty's annual report on the death penalty shows that there has been a decrease in the number of executions worldwide, with just over 600 people killed by state-sanctioned killing. Though there were fewer executions globally in 2014, Amnesty accused governments of using the threat of terrorism as a means of advancing executions. Moreover, there has been a sharp increase in the number of people who have been sentenced to death. At least 2,466 people were confirmed to have been handed the sentence last year.",1,"These are hallucinations because:
 Hallu_12. The sentence is largely supported by the source document, which states that there has been a decrease in the number of executions worldwide, mentions the use of the death penalty in relation to terrorism, and notes the increase in death sentences. The specific number of people executed and the number of death sentences are also accurately reflected from the source. Therefore, there is no hallucination present.",12,['12'],0
HaluSum000003-0,0,"Amnesty International releases its annual review of the death penalty worldwide; much of it makes for grim reading. Salil Shetty: Countries that use executions to deal with problems are on the wrong side of history.
",0,"These are hallucinations because:
 Hallu_12. The sentence is supported by the source document, which mentions Amnesty International releasing its annual review and discusses the misuse of the death penalty by governments. The phrase ""on the wrong side of history"" is a paraphrase of the sentiment expressed in the source document, not a direct quote, but it captures the essence of the argument presented. Therefore, the sentence is not hallucinated.",12,['12'],0
HaluSum000003-1,0,"China paraded scores of prisoners at a mass sentencing, part of their effort to combat terrorism and separatism. Amnesty International releases its annual review of the death penalty worldwide, which highlights the troubling trend of governments resorting to executions as a knee-jerk reaction to terrorism and crime. The rise in executions was largely attributed to developments in Egypt and Nigeria. Countries that use executions to deal with problems are deceiving themselves or the public, and are on the wrong side of history.",1,"These are hallucinations because:
 Hallu_12. The sentence provided is a summary of various points from the source document and does not contain any hallucinated information. It accurately reflects the content regarding China's mass sentencing, Amnesty International's report, the rise in executions attributed to Egypt and Nigeria, and the stance on the use of the death penalty. Therefore, it does not fit into hallucination categories 1-11.",12,['12'],0
HaluSum000004-0,0,"Museum: Anne Frank died earlier than previously believed. Researchers re-examined archives and testimonies of survivors. Anne and older sister Margot Frank are believed to have died in February 1945.
",0,"These are hallucinations because:
 Hallu_12. The sentence is supported by the source document, which states that new research shows Anne and Margot Frank died at least a month earlier than previously thought and that they probably did not survive to March 1945. The source also mentions that researchers re-examined archives and testimonies, leading to the conclusion that the sisters had symptoms before February 7. Therefore, the sentence is not a hallucination.",12,['12'],0
HaluSum000004-1,0,"Anne Frank and her sister Margot were found alive in the Bergen-Belsen concentration camp after new research was released by the Anne Frank House. Witnesses at the camp stated that they saw the sisters alive as late as February 7, contradicting the date of death previously believed. The sisters endured terrible living conditions and disease, but ultimately survived the Holocaust.",1,"These are hallucinations because:
 Hallu_8. The source document states that Anne and Margot Frank died at least a month earlier than previously thought and did not survive to March 1945. It also mentions that the exact dates of death are unclear, but Margot died before Anne. The sentence claiming that they were found alive and survived the Holocaust directly contradicts the information provided in the source document.",8,['8'],1
