EncounterID	SentenceID	Sentence	IsHallucination	GPTreason	GPTNeutral	GPTUnknown
HaluQA000000-0	0	Which magazine was started first Arthur's Magazine or First for Women? The answer is  Arthur's Magazine	0	"These are hallucinations because:
 NEUTRAL. The sentence states a fact that Arthur's Magazine was started before First for Women, which is supported by the source document stating that Arthur's Magazine was published in the 19th century, while First for Women is a current publication. However, the source document does not explicitly state the start date of First for Women to confirm the comparison, but the implication is clear from the context that Arthur's Magazine is the older publication. Therefore, the sentence is not a hallucination."	1	0
HaluQA000000-1	0	Which magazine was started first Arthur's Magazine or First for Women? The answer is  First for Women was started first.	1	"These are hallucinations because:
 The source document states that ""Arthur's Magazine (1844–1846) was an American literary periodical,"" which implies that Arthur's Magazine was started in the year 1844. There is no start date provided for ""First for Women,"" but since Arthur's Magazine's start date is explicitly mentioned, the claim that ""First for Women was started first"" is contradicted by the available information. Therefore, the sentence is not supported by the source document."	0	0
HaluQA000001-0	0	The Oberoi family is part of a hotel company that has a head office in what city? The answer is  Delhi	0	"These are hallucinations because:
 UNKNOWN. The sentence is a question followed by an answer which is directly supported by the source document stating ""The Oberoi Group is a hotel company with its head office in Delhi."" Therefore, the answer provided in the sentence is correct and not a hallucination."	0	1
HaluQA000001-1	0	The Oberoi family is part of a hotel company that has a head office in what city? The answer is  The Oberoi family's hotel company is based in Mumbai.	1	"These are hallucinations because:
 The grounding source states that ""The Oberoi Group is a hotel company with its head office in Delhi,"" which contradicts the claim in the sentence that the company is based in Mumbai."	0	0
HaluQA000002-0	0	"Musician and satirist Allie Goertz wrote a song about the ""The Simpsons"" character Milhouse, who Matt Groening named after who? The answer is  President Richard Nixon"	0	"These are hallucinations because:
 PARTIAL NEUTRAL. The sentence implies that Allie Goertz wrote a song specifically about Milhouse, which is not supported by the source document. However, the part of the sentence stating that Matt Groening named the character after President Richard Nixon's middle name is supported by the source document."	0	0
HaluQA000002-1	0	"Musician and satirist Allie Goertz wrote a song about the ""The Simpsons"" character Milhouse, who Matt Groening named after who? The answer is  Allie Goertz wrote a song about Milhouse, a popular TV character, named after an influential political figure."	1	"These are hallucinations because:
 PARTIAL NEUTRAL. The sentence implies that Allie Goertz wrote a song specifically about Milhouse, but the source document does not confirm that she wrote a song about this character. However, the part of the sentence stating that Milhouse was named after an influential political figure is supported by the source document, which states that Matt Groening named the character after President Richard Nixon's middle name."	0	0
HaluQA000003-0	0	 What nationality was James Henry Miller's wife? The answer is  American	0	"These are hallucinations because:
 NEUTRAL. The source document does not explicitly state the nationality of James Henry Miller's wife, but it does mention that Margaret ""Peggy"" Seeger is an American folksinger and was married to Ewan MacColl, which is the stage name of James Henry Miller. Therefore, the answer provided in the sentence is actually supported by the source document."	1	0
HaluQA000003-1	0	 What nationality was James Henry Miller's wife? The answer is  James Henry Miller's wife was British.	1	"These are hallucinations because:
 The source document states that Margaret ""Peggy"" Seeger is an American folksinger, which contradicts the sentence claiming that James Henry Miller's wife was British."	0	0
HaluQA000004-0	0	Cadmium Chloride is slightly soluble in this chemical, it is also called what? The answer is  alcohol	0	"These are hallucinations because:
 PARTIAL NEUTRAL. The source document does not mention Cadmium Chloride at all, so there is no support for its solubility in the chemical referred to. However, the second part of the sentence stating ""it is also called alcohol"" is supported by the source document which states ""Ethanol, also called alcohol, ethyl alcohol, and drinking alcohol""."	0	0
HaluQA000004-1	0	Cadmium Chloride is slightly soluble in this chemical, it is also called what? The answer is  water with a hint of alcohol	1	"These are hallucinations because:
 PARTIAL NEUTRAL. The source document does not mention Cadmium Chloride at all, so there is no support for its solubility in the chemical mentioned. The phrase ""it is also called what?"" is ambiguous and does not directly relate to the source document. The answer provided, ""water with a hint of alcohol,"" is not supported by the source document, which states that the chemical (ethanol) is ""highly soluble in water and slightly soluble in alcohol,"" not the other way around."	0	0
HaluQA000005-0	0	Which tennis player won more Grand Slam titles, Henri Leconte or Jonathan Stark? The answer is  Jonathan Stark	0	"These are hallucinations because:
 NEUTRAL. The source document does not provide any information about Henri Leconte's Grand Slam titles to compare with Jonathan Stark's achievements. Therefore, the claim that Jonathan Stark won more Grand Slam titles cannot be substantiated with the given source document."	1	0
HaluQA000005-1	0	Which tennis player won more Grand Slam titles, Henri Leconte or Jonathan Stark? The answer is  Henri Leconte won more Grand Slam titles.	1	"These are hallucinations because:
 NEUTRAL. The source document does not provide any information about Henri Leconte's Grand Slam titles to compare with Jonathan Stark's achievements."	1	0
HaluQA000006-0	0	Which genus of moth in the world's seventh-largest country contains only one species? The answer is  Crambidae	0	"These are hallucinations because:
 The sentence incorrectly identifies ""Crambidae"" as a genus, while the source document specifies ""Indogrammodes"" as the genus that contains only one species, Indogrammodes pectinicornalis, found in India. ""Crambidae"" is actually the family to which the genus ""Indogrammodes"" belongs."	0	0
HaluQA000006-1	0	Which genus of moth in the world's seventh-largest country contains only one species? The answer is  The Indogrammodes genus of moths found in India has only one species.	1	"These are hallucinations because:
 UNKNOWN. The sentence provided is supported by the source document which states ""Indogrammodes is a genus of moths of the Crambidae family. It contains only one species, Indogrammodes pectinicornalis, which is found in India,"" and also mentions that India is the seventh-largest country by area."	0	1
HaluQA000007-0	0	"Who was once considered the best kick boxer in the world, however he has been involved in a number of controversies relating to his ""unsportsmanlike conducts"" in the sport and crimes of violence outside of the ring. The answer is  Badr Hari"	0	"These are hallucinations because:
 NEUTRAL. The sentence is a rephrased statement from the source document and does not introduce new information or contradict the source. It is essentially a question form of the information provided about Badr Hari in the source document."	1	0
HaluQA000007-1	0	"Who was once considered the best kick boxer in the world, however he has been involved in a number of controversies relating to his ""unsportsmanlike conducts"" in the sport and crimes of violence outside of the ring. The answer is  Badr Hari is a notorious kickboxer."	1	"These are hallucinations because:
 PARTIAL NEUTRAL. The sentence is partially supported by the source document which states ""Hari has been a prominent figure in the world of kickboxing and was once considered the best kickboxer in the world, however he has been involved in a number of controversies relating to his 'unsportsmanlike conducts' in the sport and crimes of violence outside of the ring."" However, the term ""notorious"" is subjective and not directly supported by the text in the source document. The source document does not label Badr Hari as ""notorious,"" it only mentions his involvement in controversies and crimes."	0	0
HaluQA000008-0	0	"The Dutch-Belgian television series that ""House of Anubis"" was based on first aired in what year? The answer is  2006"	0	"These are hallucinations because:
 NEUTRAL. The sentence is a question followed by an answer, and the answer provided (""The answer is 2006"") is supported by the source document which states ""It first aired in September 2006."" Therefore, there is no hallucination present in this sentence."	1	0
HaluQA000008-1	0	"The Dutch-Belgian television series that ""House of Anubis"" was based on first aired in what year? The answer is  The inspiration for ""House of Anubis"" first aired in 2003."	1	"These are hallucinations because:
 The source document states that ""Het Huis Anubis"" first aired in September 2006, which contradicts the year 2003 mentioned in the sentence."	0	0
HaluQA000009-0	0	What is the length of the track where the 2013 Liqui Moly Bathurst 12 Hour was staged? The answer is  6.213 km long	0	"These are hallucinations because:
 UNKNOWN. The sentence provided is actually supported by the source document which states ""The 6.213 km long track is technically a street circuit,"" indicating the length of the track where the 2013 Liqui Moly Bathurst 12 Hour was staged."	0	1
HaluQA000009-1	0	What is the length of the track where the 2013 Liqui Moly Bathurst 12 Hour was staged? The answer is  The Mount Panorama Circuit track is longer than 7 km.	1	"These are hallucinations because:
 The source document states that ""The 6.213 km long track is technically a street circuit,"" which contradicts the sentence claiming the track is longer than 7 km."	0	0
HaluQA000010-0	0	Fast Cars, Danger, Fire and Knives includes guest appearances from which hip hop record executive? The answer is  Jaime Meline	0	"These are hallucinations because:
 NEUTRAL. The source document does not mention the album ""Fast Cars, Danger, Fire and Knives,"" so there is no support for the claim that Jaime Meline made guest appearances on it."	1	0
HaluQA000010-1	0	Fast Cars, Danger, Fire and Knives includes guest appearances from which hip hop record executive? The answer is  Fast Cars, Danger, Fire and Knives includes guest appearances from Russell Simmons.	1	"These are hallucinations because:
 The source document states that guest appearances include El-P, but does not mention Russell Simmons. Therefore, the claim that Russell Simmons made a guest appearance is not supported by the source document."	0	0
HaluQA000011-0	0	"Gunmen from Laredo starred which narrator of ""Frontier""? The answer is  Walter Darwin Coy"	0	"These are hallucinations because:
 NEUTRAL. The source document does not state that Walter Darwin Coy was a narrator for ""Frontier"" and starred in ""Gunmen from Laredo"". It only mentions that he was best known for narrating ""Frontier"" and separately states that he starred in ""Gunmen from Laredo"". There is no direct link between his role in ""Gunmen from Laredo"" and his role as a narrator in ""Frontier""."	1	0
HaluQA000011-1	0	"Gunmen from Laredo starred which narrator of ""Frontier""? The answer is  Although Walter Darwin Coy was part of the cast, the narrator of ""Frontier"" was actually Richard Boone."	1	"These are hallucinations because:
 The source document states that Walter Darwin Coy ""was best known for narrating the NBC western anthology series, 'Frontier',"" which contradicts the claim in the sentence that Richard Boone was the narrator."	0	0
HaluQA000012-0	0	Where did the form of music played by Die Rhöner Säuwäntzt originate? The answer is  United States	0	"These are hallucinations because:
 NEUTRAL. The sentence is not a hallucination; it is supported by the source document which states: ""Originating as a term in the United States in the first half of the 20th century."""	1	0
