EncounterID	SentenceID	Sentence	IsHallucination
HaluSum000000-0	0	"Marseille prosecutor says ""so far no videos were used in the crash investigation"" despite media reports. Journalists at Bild and Paris Match are ""very confident"" the video clip is real, an editor says. Andreas Lubitz had informed his Lufthansa training school of an episode of severe depression, airline says.
"	0
HaluSum000000-1	0	A video showing the final moments of Germanwings Flight 9525 has been recovered by investigators from the wreckage site. Marseille prosecutor Brice Robin urged anyone who might have more footage to turn it over immediately. Andreas Lubitz, the co-pilot accused of deliberately crashing the plane, had a history of severe depression and suicidal tendencies.	1
HaluSum000001-0	0	"Membership gives the ICC jurisdiction over alleged crimes committed in Palestinian territories since last June. Israel and the United States opposed the move, which could open the door to war crimes investigations against Israelis.
"	0
HaluSum000001-1	0	The International Criminal Court has officially accepted Palestine as its 123rd member, despite objections from Israel and the United States. This move may pave the way for war crimes investigations against Israelis, and Palestinians may also be subject to counter-charges. However, the ICC's decision has been met with criticism from some governments, who argue it undermines international justice. Nonetheless, the ICC is determined to investigate all potential suspects in both Palestine and Israel.	1
HaluSum000002-0	0	"Amnesty's annual death penalty report catalogs encouraging signs, but setbacks in numbers of those sentenced to death. Organization claims that governments around the world are using the threat of terrorism to advance executions. The number of executions worldwide has gone down by almost 22% compared with 2013, but death sentences up by 28%.
"	0
HaluSum000002-1	0	Amnesty's annual report on the death penalty shows that there has been a decrease in the number of executions worldwide, with just over 600 people killed by state-sanctioned killing. Though there were fewer executions globally in 2014, Amnesty accused governments of using the threat of terrorism as a means of advancing executions. Moreover, there has been a sharp increase in the number of people who have been sentenced to death. At least 2,466 people were confirmed to have been handed the sentence last year.	1
HaluSum000003-0	0	"Amnesty International releases its annual review of the death penalty worldwide; much of it makes for grim reading. Salil Shetty: Countries that use executions to deal with problems are on the wrong side of history.
"	0
HaluSum000003-1	0	China paraded scores of prisoners at a mass sentencing, part of their effort to combat terrorism and separatism. Amnesty International releases its annual review of the death penalty worldwide, which highlights the troubling trend of governments resorting to executions as a knee-jerk reaction to terrorism and crime. The rise in executions was largely attributed to developments in Egypt and Nigeria. Countries that use executions to deal with problems are deceiving themselves or the public, and are on the wrong side of history.	1
HaluSum000004-0	0	"Museum: Anne Frank died earlier than previously believed. Researchers re-examined archives and testimonies of survivors. Anne and older sister Margot Frank are believed to have died in February 1945.
"	0
HaluSum000004-1	0	Anne Frank and her sister Margot were found alive in the Bergen-Belsen concentration camp after new research was released by the Anne Frank House. Witnesses at the camp stated that they saw the sisters alive as late as February 7, contradicting the date of death previously believed. The sisters endured terrible living conditions and disease, but ultimately survived the Holocaust.	1
HaluSum000005-0	0	"Student is no longer on Duke University campus and will face disciplinary review. School officials identified student during investigation and the person admitted to hanging the noose, Duke says. The noose, made of rope, was discovered on campus about 2 a.m.
"	0
HaluSum000005-1	0	Duke University has uncovered a scandal in which a group of students were caught hanging a noose from a tree near a student union. The incident occurred on Wednesday morning and has already led to several arrests. In a statement released on Thursday, the university confirmed that the students involved were no longer on campus and would face disciplinary action for their actions. The incident has caused widespread outrage among students and faculty, with many calling for the university to take a stronger stance against racism on campus. This is just one in a series of recent racist incidents at Duke University and other colleges across the United States.	1
HaluSum000006-0	0	"The Rev. Robert Schuller, 88, had been diagnosed with esophageal cancer in 2013. His TV show, ""Hour of Power,"" was enormously popular in the 1970s and 1980s.
"	0
HaluSum000006-1	0	"Robert Schuller, the televangelist founder of the ""Hour of Power,"" died at the age of 88 after years of battling cancer. His son Bobby Schuller Jr. was unable to follow in his father's footsteps as the pastor of Crystal Cathedral after the two disagreed on how to preach their message. Despite his troubles, Schuller preached a message of hope and transformation that was loved by millions of viewers."	1
HaluSum000007-0	0	"Theia, a bully breed mix, was apparently hit by a car, whacked with a hammer and buried in a field. ""She's a true miracle dog and she deserves a good life,"" says Sara Mellado, who is looking for a home for Theia.
"	0
HaluSum000007-1	0	Washington State University's Veterinary Teaching Hospital is treating a dog that was buried alive for three days and survived. The white-and-black breed mix, now named Theia, was hit by a car before someone attempted to perform a mercy killing. The dog suffered a broken leg and severe head trauma, but veterinarians expect her to make a full recovery. Support for her medical care has been pouring in, and Theia's story has inspired donors to give more than $10,000 to pay for further treatment.	1
HaluSum000008-0	0	"Mohammad Javad Zarif has spent more time with John Kerry than any other foreign minister. He once participated in a takeover of the Iranian Consulate in San Francisco. The Iranian foreign minister tweets in English.
"	0
HaluSum000008-1	0	Mohammad Javad Zarif may have been involved in money laundering for Iran, but ultimately was not charged. He also participated in the Iranian Revolution and took over both the Iranian Consulate in San Francisco and the UN Iranian mission. He is currently breaking the record for the amount of time spent with John Kerry.	1
HaluSum000009-0	0	"Bob Barker returned to host ""The Price Is Right"" on Wednesday. Barker, 91, had retired as host in 2007.
"	0
HaluSum000009-1	0	"Host Drew Carey was replaced with Bob Barker, who took over hosting duties on ""The Price Is Right"" after an eight-year hiatus."	1
HaluSum000010-0	0	"College-bound basketball star asks girl with Down syndrome to high school prom. Pictures of the two during the ""prom-posal"" have gone viral.
"	0
HaluSum000010-1	0	"A high school freshman with Down syndrome is ready to party like it's 1989 as she becomes the prom date of a college-bound basketball star. The two were brought together through a mutual love of Taylor Swift and are now the talk of the town after an elaborate ""prom-posal"" caught the attention of the internet. Friends and family are thrilled that Ellie will be attending the prom after struggling with friendships in the past."	1
HaluSum000011-0	0	"Former GOP representative compares President Obama to Andreas Lubitz. Bachmann said with possible Iran deal, Obama will fly ""entire nation into the rocks"" Reaction on social media? She was blasted by Facebook commenters.
"	0
HaluSum000011-1	0	"Michele Bachmann has accused Barack Obama of planning to crash the United States like a Germanwings flight. In a Facebook post, the former representative said Obama's Iran deal will result in 300 million deaths. She faced backlash on social media, with one user calling her ""moronic and despicable."" Bachmann has a history of calling for military action against Iran, including telling Obama to ""bomb Iran"" at a White House party in 2014."	1
HaluSum000012-0	0	"Americans paid more for some fruits and vegetables last year because of the drought. Tourists will now have to ask for a glass of water at a California restaurant. Perhaps the only good thing is another ""great"" wine grape harvest last year.
"	0
HaluSum000012-1	0	The California drought has led to a decrease in food prices, allowing for cheaper fruits and vegetables in supermarkets across the nation. Tourists visiting California can expect to be greeted with free glasses of water at restaurants and lavish decorative fountains in residential areas. Additionally, the drought has resulted in a decrease in the quality of wine grapes, leading to a devastatingly poor harvest in 2014.	1
